complex_id	complex_name	organism	pmid	cell_line	purification_methods	n_subunits	subunit_ids	subunit_genes	n_ext_ppi_edges	n_ext_partners	n_ext_partners_pure	n_ext_partners_other_complex_subunit	go_ids	go_names	go_ontology	comment_complex	comment_disease
633	anti-BHC110 complex	Human	12493763		MI:0006:anti bait coimmunoprecipitation;MI:0091:chromatography technology	11	Q14687;P78347;Q13547;Q92769;Q9P0W2;O60341;Q96BD5;Q9UKL0;Q9UBW7;Q14202;O75362	GSE1;GTF2I;HDAC1;HDAC2;HMG20B;KDM1A;PHF21A;RCOR1;ZMYM2;ZMYM3;ZNF217	204	204	76	128	GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process		XFIM (ZMYM3) is involved in X-linked mental retardation.
634	XFIM complex	Human	12493763		MI:0007:anti tag coimmunoprecipitation;MI:0071:molecular sieving	5	P78347;Q13547;Q92769;O60341;Q14202	GTF2I;HDAC1;HDAC2;KDM1A;ZMYM3	203	203	73	130	GO:0005634;GO:0006265;GO:0006476;GO:0032774;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;RNA biosynthetic process;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process		XFIM (ZMYM3) is involved in X-linked mental retardation.
636	BHC complex	Human	12032298		MI:0004:affinity chromatography technology;MI:0006:anti bait coimmunoprecipitation;MI:0007:anti tag coimmunoprecipitation;MI:0091:chromatography technology	6	Q13547;Q92769;Q9P0W2;O60341;Q96BD5;Q9UKL0	HDAC1;HDAC2;HMG20B;KDM1A;PHF21A;RCOR1	196	196	73	123	GO:0005634;GO:0006265;GO:0006476;GO:0030182;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;neuron differentiation;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process	The BHC complex mediates repression of neuron-specific genes.	
642	CtBP complex	Human	12700765		MI:0007:anti tag coimmunoprecipitation	17	O00257;Q9Y232;Q13363;P56545;Q9H9B1;Q96KQ7;Q13547;Q92769;O60341;Q96JN0;Q9UKL0;Q9P2K3;Q92766;P37275;O60315;O75362;Q92618	CBX4;CDYL;CTBP1;CTBP2;EHMT1;EHMT2;HDAC1;HDAC2;KDM1A;LCOR;RCOR1;RCOR3;RREB1;ZEB1;ZEB2;ZNF217;ZNF516	230	230	94	136	GO:0003677;GO:0005634;GO:0006265;GO:0032452;GO:0045892;GO:0051276	DNA binding;nucleus;DNA topological change;histone demethylase activity;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;molecular_function;biological_process;biological_process		CtBP is implicated in tumorigenesis.
643	CtBP core complex	Human	12700765		MI:0029:cosedimentation through density gradient;MI:0071:molecular sieving	9	Q13363;P56545;Q9H9B1;Q96KQ7;Q13547;Q92769;O60341;Q9UKL0;P37275	CTBP1;CTBP2;EHMT1;EHMT2;HDAC1;HDAC2;KDM1A;RCOR1;ZEB1	225	225	91	134	GO:0003677;GO:0005634;GO:0006265;GO:0032452;GO:0045892;GO:0051276	DNA binding;nucleus;DNA topological change;histone demethylase activity;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;molecular_function;biological_process;biological_process		CtBP is implicated in tumorigenesis.
646	HDAC1-associated protein complex	Human	11102443		MI:0006:anti bait coimmunoprecipitation;MI:0007:anti tag coimmunoprecipitation	9	Q12873;Q13547;O60341;Q9UBB5;O95983;O94776;Q09028;Q16576;Q9UKL0	CHD3;HDAC1;KDM1A;MBD2;MBD3;MTA2;RBBP4;RBBP7;RCOR1	221	221	91	130	GO:0003677;GO:0004407;GO:0005634;GO:0006265;GO:0045892;GO:0051276	DNA binding;histone deacetylase activity;nucleus;DNA topological change;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process		
648	HDAC1-associated core complex cI	Human	11102443		MI:0006:anti bait coimmunoprecipitation;MI:0007:anti tag coimmunoprecipitation;MI:0029:cosedimentation through density gradient	3	Q13547;O60341;Q9UKL0	HDAC1;KDM1A;RCOR1	182	182	68	114	GO:0003677;GO:0004407;GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	DNA binding;histone deacetylase activity;nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process		
649	HDAC1-associated core complex cII	Human	11102443		MI:0006:anti bait coimmunoprecipitation;MI:0007:anti tag coimmunoprecipitation;MI:0029:cosedimentation through density gradient	9	Q12873;Q86YP4;Q13547;Q9UBB5;O95983;O94776;Q09028;Q16576;Q9UKL0	CHD3;GATAD2A;HDAC1;MBD2;MBD3;MTA2;RBBP4;RBBP7;RCOR1	199	199	78	121	GO:0003677;GO:0004407;GO:0005634;GO:0006265;GO:0045892;GO:0051276	DNA binding;histone deacetylase activity;nucleus;DNA topological change;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process		
650	HDAC2-asscociated core complex	Human	11102443		MI:0007:anti tag coimmunoprecipitation;MI:0029:cosedimentation through density gradient	7	Q12873;Q86YP4;Q92769;O95983;O94776;Q09028;Q16576	CHD3;GATAD2A;HDAC2;MBD3;MTA2;RBBP4;RBBP7	135	135	46	89	GO:0003677;GO:0004407;GO:0005634;GO:0006265;GO:0045892;GO:0051276	DNA binding;histone deacetylase activity;nucleus;DNA topological change;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process		
655	HSF1-HSF2 complex	Human	16336210		MI:0019:coimmunoprecipitation	2	Q00613;Q03933	HSF1;HSF2	15	15	2	13	GO:0005515	protein binding	molecular_function		
662	HOXA9-MEIS1-PBX2 complex	Human	10082572	human U-937 and KG1 myeloid leukemia cells	MI:0007:anti tag coimmunoprecipitation;MI:0019:coimmunoprecipitation;MI:0413:electrophoretic mobility shift assay;MI:0416:fluorescence microscopy	3	P31269;O00470;P40425	HOXA9;MEIS1;PBX2	9	9	0	9	GO:0003677;GO:0005634;GO:0030218	DNA binding;nucleus;erythrocyte differentiation	molecular_function;cellular_component;biological_process	MEIS1 is capable of forming a triple complex with HOXA9 and each of the three known PBX proteins in the absence of DNA (PMID:10082572).	Aberrant activation of the HOX, MEIS, and PBX homeodomain protein families is associated with leukemias, and retrovirally driven coexpression of HOXA9 and MEIS1 is sufficient to induce myeloid leukemia in mice (cited in PMID:10082572).
684	PAX9-MSX1 complex	Human	15721141		MI:0018:two hybrid;MI:0019:coimmunoprecipitation	2	P28360;P55771	MSX1;PAX9	8	8	5	3	GO:0006355;GO:0042476;GO:2001141	regulation of DNA-templated transcription;odontogenesis;regulation of RNA biosynthetic process	biological_process;biological_process;biological_process		PAX9 is involved  in tooth agenesis. The results indicate a functional relationship between Pax9 and Msx1 during tooth development.
685	MeCP1 complex	Human	11756549	HEK293T cells	MI:0006:anti bait coimmunoprecipitation;MI:0029:cosedimentation through density gradient	9	Q14839;Q8WXI9;Q13547;Q92769;Q9UBB5;O95983;O94776;Q09028;Q16576	CHD4;GATAD2B;HDAC1;HDAC2;MBD2;MBD3;MTA2;RBBP4;RBBP7	210	210	79	131	GO:0003677;GO:0004407;GO:0005634;GO:0006265;GO:0045892;GO:0051276	DNA binding;histone deacetylase activity;nucleus;DNA topological change;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process	MeCP1 protein complex represses transcription through preferential binding, remodeling, and deacetylation of methylated nucleosomes.	
691	SIN3-SAP25 complex	Human	16449650	HEK293T cells	MI:0007:anti tag coimmunoprecipitation	11	Q4LE39;Q13547;Q92769;Q09028;Q16576;Q9H0E3;O00422;Q8TEE9;O75446;Q96ST3;Q9H7L9	ARID4B;HDAC1;HDAC2;RBBP4;RBBP7;SAP130;SAP18;SAP25;SAP30;SIN3A;SUDS3	229	229	91	138	GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process		
695	SIN3-HDAC-SAP30-ARID4 complex	Human	12724404	K562 cells	MI:0006:anti bait coimmunoprecipitation	7	Q4LE39;Q13547;Q92769;Q09028;Q16576;O75446;Q96ST3	ARID4B;HDAC1;HDAC2;RBBP4;RBBP7;SAP30;SIN3A	227	227	85	142	GO:0005515;GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	protein binding;nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process		
696	BRMS1-mSin3A corepressor complex	Human	14581478	C8161.9 cells, MDA-MB-231 human breast carcinoma cells	MI:0007:anti tag coimmunoprecipitation	8	Q9HCU9;Q13547;Q92769;Q09028;Q16576;O75446;Q96ST3;O75182	BRMS1;HDAC1;HDAC2;RBBP4;RBBP7;SAP30;SIN3A;SIN3B	229	229	86	143	GO:0004407;GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	BRMS1 may participate in transcriptional regulation via interaction with the Sin3-HDAC complex and suggest a novel mechanism by which BRMS1 might suppress cancer metastasis.	
697	BRMS1-RBP1 complex	Human	14581478		MI:0007:anti tag coimmunoprecipitation	2	Q4LE39;Q9HCU9	ARID4B;BRMS1	15	15	1	14	GO:0005634;GO:0045892	nucleus;negative regulation of DNA-templated transcription	cellular_component;biological_process	BRMS1 may participate in transcriptional regulation via interaction with the mSin3.HDAC complex and suggest a novel mechanism by which BRMS1 might suppress cancer metastasis.	
711	Brm-associated complex	Human	11238380		MI:0007:anti tag coimmunoprecipitation;MI:0029:cosedimentation through density gradient	9	O96019;O14497;O14744;P51531;Q12824;Q92922;Q8TAQ2;Q96GM5;Q969G3	ACTL6A;ARID1A;PRMT5;SMARCA2;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1	92	92	27	65	GO:0003677;GO:0005634;GO:0006265;GO:0006355;GO:0006479;GO:0051276;GO:2001141	DNA binding;nucleus;DNA topological change;regulation of DNA-templated transcription;protein methylation;chromosome organization;regulation of RNA biosynthetic process	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process		
713	BRG1-SIN3A complex	Human	11238380		MI:0007:anti tag coimmunoprecipitation;MI:0029:cosedimentation through density gradient	14	O96019;O14497;Q92769;O14744;Q09028;Q96ST3;P51532;Q12824;Q92922;Q8TAQ2;Q96GM5;Q92925;Q6STE5;Q969G3	ACTL6A;ARID1A;HDAC2;PRMT5;RBBP4;SIN3A;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCD3;SMARCE1	233	233	79	154	GO:0003677;GO:0005634;GO:0006265;GO:0045892;GO:0051276	DNA binding;nucleus;DNA topological change;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process	Components of the Sin3 complex cofractionate with BRG1-associated complex I, but not with BRG1-associated complex II.	
714	BRM-SIN3A complex	Human	11238380		MI:0007:anti tag coimmunoprecipitation;MI:0029:cosedimentation through density gradient	15	O96019;O14497;Q13547;Q92769;O14744;Q09028;Q96ST3;P51531;Q12824;Q92922;Q8TAQ2;Q96GM5;Q92925;Q6STE5;Q969G3	ACTL6A;ARID1A;HDAC1;HDAC2;PRMT5;RBBP4;SIN3A;SMARCA2;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCD3;SMARCE1	284	284	107	177	GO:0003677;GO:0005634;GO:0006265;GO:0045892;GO:0051276	DNA binding;nucleus;DNA topological change;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process	Components of the Sin3 complex cofractionate with BRM-associated complex.	
720	PU.1-SIN3A-HDAC complex	Human	11593411		MI:0007:anti tag coimmunoprecipitation	3	Q13547;Q96ST3;P17947	HDAC1;SIN3A;SPI1	206	206	71	135	GO:0003677;GO:0005634;GO:0006265;GO:0006476;GO:0045892;GO:0051276	DNA binding;nucleus;DNA topological change;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process		
721	PU.1-TBP complex	Human	14647463		MI:0007:anti tag coimmunoprecipitation	2	P17947;P20226	SPI1;TBP	92	92	31	61	GO:0003677;GO:0005634;GO:0045892	DNA binding;nucleus;negative regulation of DNA-templated transcription	molecular_function;cellular_component;biological_process		
724	MAF2 complex	Human	12397079	EJ cells; CMV-MJ-Hel 1 cells	MI:0006:anti bait coimmunoprecipitation;MI:0029:cosedimentation through density gradient	2	Q9H7Z6;Q9UBU8	KAT8;MORF4L1	21	21	3	18	GO:0005634;GO:0006473;GO:0045893;GO:0090398	nucleus;protein acetylation;positive regulation of DNA-templated transcription;cellular senescence	cellular_component;biological_process;biological_process;biological_process		
738	SIN3-ING1b complex I	Human	11784859	HeLa cells	MI:0006:anti bait coimmunoprecipitation;MI:0091:chromatography technology	9	Q4LE39;Q13547;Q92769;Q9UK53;Q09028;Q16576;O00422;O75446;Q96ST3	ARID4B;HDAC1;HDAC2;ING1;RBBP4;RBBP7;SAP18;SAP30;SIN3A	232	232	91	141	GO:0004407;GO:0005634;GO:0006265;GO:0006338;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;chromatin remodeling;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	SAP30 is a specific component of Sin3 complexes since it is absent in other HDAC1/2-containing complexes such as NuRD.	
739	SIN3-ING1b complex II	Human	11784859	HeLa cells	MI:0006:anti bait coimmunoprecipitation;MI:0091:chromatography technology	16	O96019;O14497;Q4LE39;Q13547;Q92769;Q9UK53;Q09028;Q16576;O00422;O75446;Q96ST3;P51532;Q12824;Q92922;Q8TAQ2;Q96GM5	ACTL6A;ARID1A;ARID4B;HDAC1;HDAC2;ING1;RBBP4;RBBP7;SAP18;SAP30;SIN3A;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1	280	280	108	172	GO:0004407;GO:0005634;GO:0006265;GO:0006338;GO:0045892;GO:0051090;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;chromatin remodeling;negative regulation of DNA-templated transcription;regulation of DNA-binding transcription factor activity;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process	SAP30 is a specific component of Sin3 complexes since it is absent in other HDAC1/2-containing complexes such as NuRD.	
745	NCOR-SIN3-RPD3 complex	Human	9139820	MCF-7 cells	MI:0006:anti bait coimmunoprecipitation	4	Q92769;Q9Y618;Q96ST3;O75182	HDAC2;NCOR2;SIN3A;SIN3B	169	169	47	122	GO:0005634;GO:0006265;GO:0006476;GO:0009755;GO:0032774;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;hormone-mediated signaling pathway;RNA biosynthetic process;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	The authors predict that the ligand-induced switch of heterodimeric nuclear receptors from repressor to activator functions involves the exchange of complexes containing histone deacetylases with those that have histone acetylase activity.	
746	C/EBPalpha-HNF6 complex	Human	16440369		MI:0004:affinity chromatography technology;MI:0019:coimmunoprecipitation	2	P49715;Q9UBC0	CEBPA;ONECUT1	28	28	7	21	GO:0005634;GO:0045893	nucleus;positive regulation of DNA-templated transcription	cellular_component;biological_process	"Formation of the C/EBPalpha-HNF6 protein complex required the HNF6 cut domain and the C/EBPalpha activation domain (AD) 1/AD2 sequences.
The C/EBPalpha-HNF6 protein complex stimulates recruitment of the CBP coactivator protein for expression of Foxa2."	
747	NCOR-SIN3-HDAC1 complex	Human	9150137	HL-60 cells	MI:0096:pull down	3	Q13547;Q9Y618;Q96ST3	HDAC1;NCOR2;SIN3A	216	216	71	145	GO:0005634;GO:0006265;GO:0006476;GO:0009755;GO:0032774;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;hormone-mediated signaling pathway;RNA biosynthetic process;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	N-CoR directly interact with mSin3A.	
